"p","r_quantile"
-0.878,-0.271972091293608
-0.877,-0.286977525886012
-0.876,-0.309499690214577
-0.875,-0.291805343068163
-0.874,-0.264532831965523
-0.873,-0.25970629816039
-0.872,-0.303295222571266
-0.871,-0.270070464480385
-0.87,-0.268426290406789
-0.869,-0.256790509941966
-0.868,-0.273454286140355
-0.867,-0.247780020270703
-0.866,-0.212429514961707
-0.865,-0.241518714588598
-0.864,-0.235504783536323
-0.863,-0.244989144665794
-0.862,-0.249945521934691
-0.861,-0.243726793917101
-0.86,-0.209195553245954
-0.859,-0.179620396828675
-0.858,-0.252595078238722
-0.857,-0.227721098012294
-0.856,-0.209184414412423
-0.855,-0.198600903455264
-0.854,-0.196436476896154
-0.853,-0.18317175065757
-0.852,-0.138381160748101
-0.851,-0.178686913784553
-0.85,-0.201951615264185
-0.849,-0.162786226236037
-0.848,-0.176164920707877
-0.847,-0.196605071898715
-0.846,-0.175832003636746
-0.845,-0.146850366716638
-0.844,-0.198209672295607
-0.843,-0.116367879252315
-0.842,-0.137117143543749
-0.841,-0.127151375326101
-0.84,-0.115187843131261
-0.839,-0.0873274548152786
-0.838,-0.124141008961738
-0.837,-0.142595692341828
-0.836,-0.188697200536729
-0.835,-0.117842505082386
-0.834,-0.125905503683644
-0.833,-0.115984453854575
-0.832,-0.0660540388516796
-0.831,-0.114858025614656
-0.83,-0.100668408190861
-0.829,-0.0980918192373623
-0.828,-0.0833612632856341
-0.827,-0.0926475561030348
-0.826,-0.0960486534864279
-0.825,-0.0814793218154134
-0.824,-0.0735809813610293
-0.823,-0.0947691891012281
-0.822,-0.0582125826280085
-0.821,-0.0571924404563355
-0.82,-0.0603390149084303
-0.819,-0.0492086406359753
-0.818,-0.0151328761485959
-0.817,-0.0230328855828625
-0.816,-0.012620220414404
-0.815,-0.0624678145500517
-0.814,-0.0115809872361197
-0.813,-0.0322640835933919
-0.812,0.027269507243004
-0.811,-0.0424724798226577
-0.81,-0.0412910311538996
-0.809,0.00969545609921301
-0.808,-0.0347191792774544
-0.807,0.0117188598641132
-0.806,0.0107022617579572
-0.805,0.0641684324645726
-0.804,-0.0171437103830412
-0.803,-0.00049190299940354
-0.802,0.0272795939271466
-0.801,0.0155308054624682
-0.8,0.00185847340259614
-0.799,0.00850139450321797
-0.798,0.0347355091601199
-0.797,0.0172672629089002
-0.796,0.0612079971012765
-0.795,0.014342679819366
-0.794,0.0330871959718486
-0.793,0.0380046046244921
-0.792,0.0206258761382401
-0.791,0.0368534737411572
-0.79,0.0380387289833985
-0.789,0.0390746190633958
-0.788,0.0405931070006557
-0.787,0.0380908684484236
-0.786,0.0784772785793175
-0.785,0.0791815476934875
-0.784,0.0848885840291883
-0.783,0.0726187216522277
-0.782,0.0751463772237677
-0.781,0.082893180200702
-0.78,0.0786858125442999
-0.779,0.0932323605952044
-0.778,0.111052450838614
-0.777,0.111458736490863
-0.776,0.076985082882342
-0.775,0.0879995293285544
-0.774,0.10358288166525
-0.773,0.0929108580861103
-0.772,0.087377875922474
-0.771,0.124961315071093
-0.77,0.100444611214016
-0.769,0.114687029628482
-0.768,0.0948816159424826
-0.767,0.104545755411944
-0.766,0.144305803031334
-0.765,0.139715927297108
-0.764,0.11902519238241
-0.763,0.160258033277274
-0.762,0.144967617342862
-0.761,0.162198617252409
-0.76,0.160870014453719
-0.759,0.169791233133612
-0.758,0.149873477706793
-0.757,0.119169751773989
-0.756,0.209604521360957
-0.755,0.184728766479183
-0.754,0.153866411930659
-0.753,0.170089695275699
-0.752,0.202111589508473
-0.751,0.151019290441274
-0.75,0.150281090472339
-0.749,0.186872497399327
-0.748,0.152402689126972
-0.747,0.192067157670726
-0.746,0.207073549573313
-0.745,0.215448813869279
-0.744,0.201960679023722
-0.743,0.191955991127092
-0.742,0.217227814522747
-0.741,0.185406394330112
-0.74,0.199099537697272
-0.739,0.19178883711564
-0.738,0.231067257943268
-0.737,0.211017897451053
-0.736,0.21477852805724
-0.735,0.200328248325834
-0.734,0.236393376046849
-0.733,0.205113700319103
-0.732,0.231402418192705
-0.731,0.219057264936996
-0.73,0.23497118784062
-0.729,0.252007631148166
-0.728,0.216366003448551
-0.727,0.235993025052564
-0.726,0.220778375314226
-0.725,0.257193527688144
-0.724,0.234450748873942
-0.723,0.250812597736319
-0.722,0.234691157141624
-0.721,0.22442566056783
-0.72,0.25437479228066
-0.719,0.27269925432061
-0.718,0.267476787009448
-0.717,0.27234953590764
-0.716,0.263160300745817
-0.715,0.274574253143356
-0.714,0.240335614325461
-0.713,0.291760610150641
-0.712,0.288991689623117
-0.711,0.268975416501309
-0.71,0.258041289494818
-0.709,0.31230120740193
